chunk_id,source,category,text,question,answer,keywords,wilaya,job_title
CHK_00000,faq,registration,"Question: Comment s'inscrire à l'ANEM à Skikda ? Answer: Pour s'inscrire à l'ANEM à Skikda, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (DUT), CV, et photo. L'inscription est gratuite.",Comment s'inscrire à l'ANEM à Skikda ?,"Pour s'inscrire à l'ANEM à Skikda, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (DUT), CV, et photo. L'inscription est gratuite.","['Skikda', 'network engineer', 'content creation (e.g., writing, editing, graphic design, video production) content marketing social media management seo optimization creative storytelling audience engagement analytics and reporting adaptability communication skills creativity', 'registration']",Skikda,network engineer
CHK_00001,faq,registration,"Question: Quels documents fournir si j'ai un DUT pour m'inscrire à l'ANEM ? Answer: Avec un DUT, vous devez fournir: attestation de réussite originale, copie CIN, justificatif de domicile, CV, et photo d'identité.",Quels documents fournir si j'ai un DUT pour m'inscrire à l'ANEM ?,"Avec un DUT, vous devez fournir: attestation de réussite originale, copie CIN, justificatif de domicile, CV, et photo d'identité.","['Skikda', 'market research analyst', 'event planning conference logistics budget management vendor coordination marketing and promotion client relations', 'registration']",Skikda,market research analyst
CHK_00002,faq,registration,"Question: Puis-je m'inscrire à l'ANEM si je suis licencié économique ? Answer: Oui, les personnes avec le statut 'licencié économique' peuvent s'inscrire à l'ANEM. Apportez un justificatif de votre situation actuelle.",Puis-je m'inscrire à l'ANEM si je suis licencié économique ?,"Oui, les personnes avec le statut 'licencié économique' peuvent s'inscrire à l'ANEM. Apportez un justificatif de votre situation actuelle.","['Oran', 'mechanical engineer', 'acute care nursing emergency medicine critical care diagnostic tests treatment planning', 'registration']",Oran,mechanical engineer
CHK_00003,faq,registration,"Question: L'ANEM de Constantine est-elle ouverte le vendredi ? Answer: Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.",L'ANEM de Constantine est-elle ouverte le vendredi ?,"Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.","['Constantine', 'family lawyer', 'front-end web development html, css, javascript responsive design web performance optimization cross-browser compatibility', 'registration']",Constantine,family lawyer
CHK_00004,faq,registration,Question: Combien de temps prend l'inscription à l'ANEM à Tamanrasset ? Answer: L'inscription à l'ANEM de Tamanrasset prend entre 30 minutes et 2 heures.,Combien de temps prend l'inscription à l'ANEM à Tamanrasset ?,L'inscription à l'ANEM de Tamanrasset prend entre 30 minutes et 2 heures.,"['Tamanrasset', 'event coordinator', 'nursing care patient assessment medical knowledge', 'registration']",Tamanrasset,event coordinator
CHK_00005,faq,registration,"Question: Comment s'inscrire à l'ANEM à Annaba ? Answer: Pour s'inscrire à l'ANEM à Annaba, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (master), CV, et photo. L'inscription est gratuite.",Comment s'inscrire à l'ANEM à Annaba ?,"Pour s'inscrire à l'ANEM à Annaba, rendez-vous à l'agence locale avec: votre CIN, justificatif de domicile, diplôme (master), CV, et photo. L'inscription est gratuite.","['Annaba', 'legal assistant', 'counseling techniques psychotherapy mental health assessment treatment planning crisis intervention ethical standards empathy and active listening cultural competence documentation communication skills self-care licensing and certification', 'registration']",Annaba,legal assistant
CHK_00006,faq,registration,"Question: Quels documents fournir si j'ai un doctorat pour m'inscrire à l'ANEM ? Answer: Avec un doctorat, vous devez fournir: attestation de réussite originale, copie CIN, justificatif de domicile, CV, et photo d'identité.",Quels documents fournir si j'ai un doctorat pour m'inscrire à l'ANEM ?,"Avec un doctorat, vous devez fournir: attestation de réussite originale, copie CIN, justificatif de domicile, CV, et photo d'identité.","['Skikda', 'key account manager', 'sales leadership team management sales strategy and planning', 'registration']",Skikda,key account manager
CHK_00007,faq,registration,"Question: Puis-je m'inscrire à l'ANEM si je suis étudiant diplômé ? Answer: Oui, les personnes avec le statut 'étudiant diplômé' peuvent s'inscrire à l'ANEM. Apportez un justificatif de votre situation actuelle.",Puis-je m'inscrire à l'ANEM si je suis étudiant diplômé ?,"Oui, les personnes avec le statut 'étudiant diplômé' peuvent s'inscrire à l'ANEM. Apportez un justificatif de votre situation actuelle.","['Tamanrasset', 'systems analyst', 'procurement strategies supplier management negotiation cost analysis supply chain management', 'registration']",Tamanrasset,systems analyst
CHK_00008,faq,registration,"Question: L'ANEM de El Oued est-elle ouverte le vendredi ? Answer: Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.",L'ANEM de El Oued est-elle ouverte le vendredi ?,"Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.","['El Oued', 'ux researcher', 'quality assurance processes testing methodologies (e.g., manual, automated) bug tracking and reporting test case development regression testing', 'registration']",El Oued,ux researcher
CHK_00009,faq,registration,Question: Combien de temps prend l'inscription à l'ANEM à Sétif ? Answer: L'inscription à l'ANEM de Sétif prend entre 30 minutes et 2 heures.,Combien de temps prend l'inscription à l'ANEM à Sétif ?,L'inscription à l'ANEM de Sétif prend entre 30 minutes et 2 heures.,"['Sétif', 'process engineer', 'counseling techniques psychotherapy mental health assessment treatment planning crisis intervention ethical standards empathy and active listening cultural competence documentation communication skills self-care licensing and certification', 'registration']",Sétif,process engineer
CHK_00010,faq,registration,"Question: L'ANEM de Annaba est-elle ouverte le vendredi ? Answer: Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.",L'ANEM de Annaba est-elle ouverte le vendredi ?,"Les agences ANEM sont ouvertes du dimanche au jeudi de 8h à 16h30. Fermées les vendredis, samedis et jours fériés.","['Annaba', 'architectural designer', 'wedding design concepts decor selection and arrangement creative flair', 'registration']",Annaba,architectural designer
